"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 05 10:47:12 BRT 2021","Mon Jul 05 10:47:14 BRT 2021","2807","","Adicionar Pedido ao carrinho","","","","Adicionar Pizza de Peperoni",""
"passed","Mon Jul 05 10:47:04 BRT 2021","Mon Jul 05 10:47:12 BRT 2021","7471","","Adicionar Pedido ao carrinho","","","","Adicionar Pizza de Mussarela no Carrinho",""
